Genesis;[68]1,[32]1,[15]1,[28]1,[30]1,[57]1,[48]1,[67]1,[37]1,[52]1,[71]1,[61]1,[65]1,[73]1,[60]1,[17]1,[13]1,[69]1,[29]1,[33]1,[18]1,[11]1,[75]1,[25]1,[58]1,[8]1,[12]1,[79]1,[64]1,[44]1,[59]1,[41]1,[19]1,[23]1,[45]1,[56]1,[22]1,[53]1,[6]1,[0]1,[24]1,[66]1,[51]1,[1]1,[4]1,[72]1,[74]1,[70]1,[9]1,[50]1,[10]1,[31]1,[47]1,[78]1,[2]1,[49]1,[63]1,[55]1,[62]1,[36]1,[46]1
[68]1;[7]1,[30]2,[15]2,[59]2,[57]2,[25]2,[53]2,[20]1,[42]1,[43]1,[21]1,[34]1,[27]1,[3]1,[31]2,[5]1,[38]1,[39]1,[75]2,[71]2,[32]2,[37]2,[28]2,[52]2,[14]1,[11]2,[33]2,[8]2,[77]1,[23]2,[12]2,[51]2,[67]2,[64]2,[26]1,[58]2,[0]2,[1]2,[19]2,[45]2,[76]1,[54]1,[63]2,[61]2,[69]2,[2]2,[48]2,[44]2,[4]2,[35]1,[24]2,[78]2,[16]1,[29]2,[13]2,[17]2,[70]2
[32]1;[20]1,[42]1,[43]1,[21]1,[34]1,[27]1
[15]1;
[28]1;
[30]1;
[57]1;
[48]1;
[67]1;
[37]1;
[52]1;
[71]1;
[61]1;
[65]1;[38]1,[39]1
[73]1;
[60]1;
[17]1;
[13]1;[3]1
[69]1;
[29]1;[5]1,[28]2,[52]2
[33]1;
[18]1;
[11]1;[8]2,[77]1,[23]2
[75]1;[12]2,[51]2
[25]1;
[58]1;[17]3
[8]1;[32]2,[67]2
[12]1;[37]2,[14]1
[79]1;[11]2,[26]1
[64]1;[58]2
[44]1;[75]2,[71]2,[33]2,[19]2,[45]2
[59]1;[69]2,[2]2,[48]2,[41]3
[41]1;[44]2,[35]1,[16]1,[29]2,[13]2,[70]2,[66]2,[18]2,[22]2,[68]2,[49]2,[30]3,[9]2,[46]2,[55]2,[15]3,[72]2,[79]2,[6]2,[53]3,[42]2,[25]3,[52]3,[37]3,[32]3,[75]3,[3]2,[14]2
[19]1;
[23]1;
[45]1;
[56]1;
[22]1;
[53]1;[64]2
[6]1;
[0]1;
[24]1;[50]2,[1]3,[47]2,[64]3,[8]4,[4]3
[66]1;[0]2,[1]2
[51]1;[48]3,[31]3
[1]1;[76]1,[54]1,[63]2
[4]1;[61]2
[72]1;
[74]1;[4]2,[24]2,[78]2,[17]2,[66]2,[68]2,[49]2,[30]3,[9]2,[46]2,[72]2,[79]2,[6]2,[42]2,[25]3,[41]3,[65]2,[52]3,[32]3,[3]2,[51]3
[70]1;[20]2,[14]2
[9]1;
[50]1;
[10]1;
[31]1;
[47]1;
[78]1;
[2]1;
[49]1;
[63]1;
[55]1;
[62]1;
[36]1;[24]3
[46]1;
[7]1;[56]2,[41]2,[57]3,[7]2,[74]2,[73]2,[18]2,[22]2,[40]1,[55]2,[15]3,[62]2,[60]2,[21]2
[30]2;[40]1,[62]2,[60]2,[53]3,[21]2,[5]2
[15]2;[5]2
[59]2;
[57]2;
[25]2;
[53]2;
[20]1;[62]3
[42]1;
[43]1;
[21]1;
[34]1;
[27]1;
[3]1;[79]3,[54]3
[31]2;
[56]2;[59]3,[56]3,[28]3,[34]2,[8]3,[71]3,[33]3,[36]2,[39]2,[0]3,[54]2,[61]3,[23]3,[35]2,[26]2,[19]3,[77]2,[70]3
[41]2;[11]3,[61]3,[23]3,[35]2,[26]2,[19]3,[77]2,[70]3,[57]4,[74]3,[71]4,[5]3
[5]1;
[38]1;
[39]1;[75]3
[75]2;[51]3
[71]2;[20]2
[32]2;[65]2
[37]2;
[28]2;
[52]2;[25]6
[14]1;[11]3
[11]2;[31]3
[33]2;[70]4,[37]4,[45]3,[26]3,[43]3,[4]4,[72]4,[2]4,[17]4,[39]4,[30]5
[8]2;[73]3
[77]1;
[23]2;[58]3,[69]3,[78]3,[2]3,[47]2,[66]3,[10]2,[22]3,[74]3,[28]4,[8]4,[49]3,[71]4,[67]3,[53]4,[5]3,[24]3,[33]4,[76]3,[0]4
[12]2;[37]3,[55]3
[51]2;
[67]2;
[64]2;
[26]1;
[58]2;
[0]2;[48]3,[63]3,[17]3
[1]2;[63]3
[19]2;
[45]2;
[76]1;
[57]3;[38]2,[10]2,[72]3,[79]3
[54]1;
[63]2;[50]2,[58]3,[69]3
[61]2;[78]3,[1]3,[2]3,[66]3,[57]4,[22]3,[64]3,[16]2,[28]4,[56]4,[4]3,[72]3,[55]3,[49]3,[54]3,[67]3,[53]4,[21]3,[33]4,[76]3,[0]4
[69]2;[73]3,[9]3,[78]4,[43]3,[10]3,[72]4,[56]5,[13]4
[2]2;[35]3,[45]3,[26]3
[48]2;
[44]2;[16]2,[56]4,[62]3,[21]3
[4]2;
